index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales
0,1975.0,Beowulf,"Unknown, Seamus Heaney",en-US,Novice,3.42,155903,genre fiction,34160.0
1,1987.0,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",eng,Intermediate,4.23,145267,genre fiction,12437.5
2,2015.0,Go Set a Watchman,Harper Lee,eng,Novice,3.31,138669,genre fiction,47795.0
3,2008.0,When You Are Engulfed in Flames,David Sedaris,en-US,Intermediate,4.04,150898,fiction,41250.0
4,2011.0,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283,genre fiction,37952.5
5,2015.0,Red Queen,Victoria Aveyard,eng,Intermediate,4.08,83354,genre fiction,19960.0
6,2011.0,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977,genre fiction,27491.67
7,1994.0,Midnight in the Garden of Good and Evil,John Berendt,eng,Intermediate,3.9,167997,nonfiction,26182.0
8,2012.0,Hopeless,Colleen Hoover,eng,Intermediate,4.34,189938,genre fiction,26093.67
9,1905.0,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",eng,Intermediate,4.2,199872,genre fiction,23792.34
10,2004.0,The Truth About Forever,Sarah Dessen,en-US,Intermediate,4.13,179415,genre fiction,17964.0
11,1954.0,The horse and his boy,C.S. Lewis,eng,Intermediate,3.9,189671,fiction,21564.0
12,2010.0,Last Sacrifice ,Richelle Mead,eng,Famous,4.42,206792,genre fiction,3431.34
13,1935.0,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.18,195424,genre fiction,6897.34
14,1922.0,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",eng,Intermediate,4.29,173469,genre fiction,21797.82
15,1974.0,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,eng,Intermediate,3.76,139411,genre fiction,16297.34
16,1897.0,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",eng,Intermediate,3.8,159752,genre fiction,15968.0
17,2006.0,Pretty Little Liars,Sara Shepard,en-US,Intermediate,3.9,156328,genre fiction,15968.0
18,1948.0,Corduroy,Don Freeman,en-US,Intermediate,4.28,160860,genre fiction,6234.67
19,2006.0,The Omnivore's Dilemma,Michael Pollan,eng,Intermediate,4.17,133271,genre fiction,3035.34
20,2013.0,Life After Life,Kate Atkinson,eng,Intermediate,3.74,138454,genre fiction,11702.67
21,2000.0,The Rescue,Nicholas Sparks,en-US,Intermediate,4.1,142092,genre fiction,8569.34
22,1991.0,Needful Things,Stephen King,,Intermediate,3.87,153821,genre fiction,2772.0
23,1993.0,Voyager,Diana Gabaldon,eng,Intermediate,4.38,157395,genre fiction,8171.67
24,1996.0,,"Kenneth Branagh, William Shakespeare",eng,Intermediate,4.12,156869,genre fiction,2639.34
25,1981.0,Cujo,Stephen King,spa,Intermediate,3.65,158215,genre fiction,7774.0
26,1993.0,The Virgin Suicides,Jeffrey Eugenides,eng,Intermediate,3.83,159249,genre fiction,26904.06
27,2004.0,Dead to the World,Charlaine Harris,eng,Intermediate,4.13,199572,genre fiction,2376.0
28,1891.0,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",eng,Intermediate,3.77,171599,nonfiction,9576.0
29,1856.0,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",eng,Intermediate,3.64,158877,genre fiction,9308.67
